sensor_id,city,lat,lng,pm25_ugm3,temp_c,humidity_pct,aqi_score,status
ENV-LIS-01,Lisbon,38.7223,-9.1393,12.4,23.5,62,Good,Healthy
ENV-OPO-02,Porto,41.1579,-8.6291,14.8,20.1,74,Good,Healthy
ENV-MAD-03,Madrid,40.4168,-3.7038,28.6,27.8,41,Moderate,Warning
ENV-PAR-04,Paris,48.8566,2.3522,34.2,19.4,68,Moderate,Warning
ENV-LON-05,London,51.5074,-0.1278,22.1,17.2,78,Moderate,Healthy
ENV-BER-06,Berlin,52.5200,13.4050,18.9,18.6,65,Good,Healthy
ENV-NYC-07,New York,40.7128,-74.0060,42.5,24.1,58,Unhealthy,Degraded
ENV-TOK-08,Tokyo,35.6762,139.6503,16.3,26.0,81,Good,Healthy
ENV-SGP-09,Singapore,1.3521,103.8198,31.0,30.5,88,Moderate,Warning
ENV-SAO-10,Sao Paulo,-23.5505,-46.6333,48.7,22.0,72,Unhealthy,Degraded
